,Unnamed: 0,Image,Shade,Name,Color
276,99.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Coral Bliss.jpg,Coral Bliss,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[239.481, 112.85566666666666, 108.64266666666667]]"
277,100.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Bronzing Glaze-11.jpg,11,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[202.97266666666667, 137.87966666666665, 116.267]]"
278,101.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Everythings Rosy 010.jpg,Everythings Rosy 010,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[206.57433333333333, 122.53816666666665, 138.1363333333333]]"
279,102.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Coral Craving-09.jpg,09,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[221.65833333333333, 128.10783333333333, 109.38466666666666]]"
280,103.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Sweet Scarlet.jpg,Sweet Scarlet,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[149.0, 95.0, 71.0]]"
281,104.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Pink Pinch.jpg,Pink Pinch,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[224.43933333333334, 139.51233333333334, 142.2105]]"
283,106.0,Round Blusher - 06-9.jpg,9,Round Blusher  06,"[[232.39633333333333, 146.41933333333336, 126.78266666666666]]"
284,107.0,Face Fwd Blush Stick - Mauve Marvel (Plum) 7g-Pink Prime.jpg,Pink Prime,Face Fwd Blush Stick  Mauve Marvel (Plum) 7g,"[[206.72566666666663, 123.72566666666664, 118.29633333333337]]"
285,108.0,Face Fwd Blush Stick - Mauve Marvel (Plum) 7g-Mauve Marvel.jpg,Mauve Marvel,Face Fwd Blush Stick  Mauve Marvel (Plum) 7g,"[[179.0, 98.0, 107.0]]"
286,109.0,Face Fwd Blush Stick - Mauve Marvel (Plum) 7g-01 Coral Climax.jpg,01 Coral Climax,Face Fwd Blush Stick  Mauve Marvel (Plum) 7g,"[[232.0, 91.0, 81.0]]"
288,111.0,Strobing Powder - 4-2.jpg,2,Strobing Powder  4,"[[235.202, 193.91366666666664, 173.41099999999997]]"
289,112.0,Strobing Powder - 4-Natural.jpg,Natural,Strobing Powder  4,"[[219.983, 210.98533333333333, 202.191]]"
290,113.0,Highlighting Powder - Bronze Glow 8g-Bronze Glow.jpg,Bronze Glow,Highlighting Powder  Bronze Glow 8g,"[[222.39766666666662, 187.77816666666666, 165.52450000000007]]"
291,114.0,Contour De Force Mini Highlighter - 03 Metal Medal - 4 g-04 Royal Rose.jpg,04 Royal Rose,Contour De Force Mini Highlighter  03 Metal Medal ,"[[197.57316666666668, 163.25, 153.22616666666667]]"
292,115.0,Contour De Force Mini Highlighter - 03 Metal Medal - 4 g-03 Metal Medal.jpg,03 Metal Medal,Contour De Force Mini Highlighter  03 Metal Medal ,"[[192.0, 136.0, 119.0]]"
293,116.0,Contour De Force Mini Highlighter - 03 Metal Medal - 4 g-Golden bronze.jpg,Golden bronze,Contour De Force Mini Highlighter  03 Metal Medal ,"[[207.0, 170.0, 141.0]]"
294,117.0,Women Blusher Reloaded - Pop My Cherry 7.5 g-Rose Kiss.jpg,Rose Kiss,Women Blusher Reloaded  Pop My Cherry 7.5 g,"[[235.4016666666667, 134.52716666666663, 150.04866666666672]]"
295,118.0,Women Blusher Reloaded - Pop My Cherry 7.5 g-Pop My Cherry.jpg,Pop My Cherry,Women Blusher Reloaded  Pop My Cherry 7.5 g,"[[236.1806666666666, 67.40716666666664, 72.01333333333335]]"
296,119.0,Women Blusher Reloaded - Pop My Cherry 7.5 g-Ballerina Pink.jpg,Ballerina Pink,Women Blusher Reloaded  Pop My Cherry 7.5 g,"[[226.47483333333338, 150.41800000000003, 157.7278333333334]]"
297,120.0,Women Blusher Reloaded - Pop My Cherry 7.5 g-Peach Bliss.jpg,Peach Bliss,Women Blusher Reloaded  Pop My Cherry 7.5 g,"[[240.68883333333335, 184.6746666666668, 169.63350000000008]]"
298,121.0,Cosmetics Face Fwd Highlighter Stick - 03 Bronze Bellwether (Warm Gold)-02 Royal Rose.jpg,02 Royal Rose,Cosmetics Face Fwd Highlighter Stick  03 Bronze Bellwether (Warm Gold),"[[222.28433333333334, 187.81316666666663, 175.92183333333327]]"
299,122.0,Cosmetics Face Fwd Highlighter Stick - 03 Bronze Bellwether (Warm Gold)-03 Bronze Bellwether.jpg,03 Bronze Bellwether,Cosmetics Face Fwd Highlighter Stick  03 Bronze Bellwether (Warm Gold),"[[226.0, 162.0, 124.0]]"
300,123.0,Cosmetics Face Fwd Highlighter Stick - 03 Bronze Bellwether (Warm Gold)-01 Champagne Champion.jpg,01 Champagne Champion,Cosmetics Face Fwd Highlighter Stick  03 Bronze Bellwether (Warm Gold),"[[196.0, 142.0, 106.0]]"
301,124.0,Paris Le Blush Bar Highlighter - Be Brave 16-Play With Me.jpg,Play With Me,Paris Le Blush Bar Highlighter  Be Brave 16,"[[232.095, 114.43250000000002, 90.59033333333335]]"
302,125.0,Paris Le Blush Bar Highlighter - Be Brave 16-Be Brave.jpg,Be Brave,Paris Le Blush Bar Highlighter  Be Brave 16,"[[231.675, 187.93200000000002, 146.85000000000002]]"
303,126.0,Paris Le Blush Bar Highlighter - Be Brave 16-Be Fierce.jpg,Be Fierce,Paris Le Blush Bar Highlighter  Be Brave 16,"[[188.481, 61.0395, 58.796333333333344]]"
304,127.0,Paris Le Blush Bar Highlighter - Be Brave 16-City Explorer.jpg,City Explorer,Paris Le Blush Bar Highlighter  Be Brave 16,"[[154.784, 64.93283333333333, 54.066166666666675]]"
305,128.0,Cosmetics Face Fwd Highlighter Stick - 01 Champagne Champion 7.5 g-02 Royal Rose.jpg,02 Royal Rose,Cosmetics Face Fwd Highlighter Stick  01 Champagne Champion 7.5 g,"[[222.28433333333334, 187.81316666666663, 175.92183333333327]]"
306,129.0,Cosmetics Face Fwd Highlighter Stick - 01 Champagne Champion 7.5 g-03 Bronze Bellwether.jpg,03 Bronze Bellwether,Cosmetics Face Fwd Highlighter Stick  01 Champagne Champion 7.5 g,"[[226.0, 162.0, 124.0]]"
307,130.0,Cosmetics Face Fwd Highlighter Stick - 01 Champagne Champion 7.5 g-01 Champagne Champion.jpg,01 Champagne Champion,Cosmetics Face Fwd Highlighter Stick  01 Champagne Champion 7.5 g,"[[196.0, 142.0, 106.0]]"
308,131.0,Metallics Body Shimmer - Miss Reflective 4 g-Miss Refl.jpg,Miss Refl,Metallics Body Shimmer  Miss Reflective 4 g,"[[226.60783333333333, 180.3195, 139.79850000000008]]"
309,132.0,Paris Le Blush Bar Highlighter - Play With Me 10 4.5 g-Play With Me.jpg,Play With Me,Paris Le Blush Bar Highlighter  Play With Me 10 4.5 g,"[[232.095, 114.43250000000002, 90.59033333333335]]"
310,133.0,Paris Le Blush Bar Highlighter - Play With Me 10 4.5 g-Be Brave.jpg,Be Brave,Paris Le Blush Bar Highlighter  Play With Me 10 4.5 g,"[[231.675, 187.93200000000002, 146.85000000000002]]"
311,134.0,Paris Le Blush Bar Highlighter - Play With Me 10 4.5 g-Be Fierce.jpg,Be Fierce,Paris Le Blush Bar Highlighter  Play With Me 10 4.5 g,"[[188.481, 61.0395, 58.796333333333344]]"
312,135.0,Paris Le Blush Bar Highlighter - Play With Me 10 4.5 g-City Explorer.jpg,City Explorer,Paris Le Blush Bar Highlighter  Play With Me 10 4.5 g,"[[154.784, 64.93283333333333, 54.066166666666675]]"
313,136.0,Benefits Cosmetics Hoola Matte Powder Bronzer-Original-Hoola.jpg,Hoola,Benefits Cosmetics Hoola Matte Powder BronzerOriginal,"[[196.31566666666666, 138.76166666666663, 113.30216666666668]]"
314,137.0,Benefits Cosmetics Hoola Matte Powder Bronzer-Original-Hoola Caramel.jpg,Hoola Caramel,Benefits Cosmetics Hoola Matte Powder BronzerOriginal,"[[176.91199999999998, 116.01366666666665, 78.80366666666666]]"
315,138.0,Glam On Perfect Blush - Coral Pink 01-Apricot 06.jpg,Apricot 06,Glam On Perfect Blush  Coral Pink 01,"[[229.05, 150.35, 143.28]]"
316,139.0,Glam On Perfect Blush - Coral Pink 01-Cocktail Peach.jpg,Cocktail Peach,Glam On Perfect Blush  Coral Pink 01,"[[236.96, 175.15, 160.2]]"
317,140.0,Glam On Perfect Blush - Coral Pink 01-Coral Pink 01.jpg,Coral Pink 01,Glam On Perfect Blush  Coral Pink 01,"[[223.14, 142.32, 138.28]]"
318,141.0,Glam On Perfect Blush - Coral Pink 01-Blush Hot Pink 02.jpg,Blush Hot Pink 02,Glam On Perfect Blush  Coral Pink 01,"[[209.11, 130.33, 149.24]]"
319,142.0,Fusion Highlighter - 06-06.jpg,06,Fusion Highlighter  06,"[[200.01466666666664, 147.77049999999997, 129.33783333333335]]"
320,143.0,Women Velvet Touch Creamy Stick Blush 02-02.jpg,02,Women Velvet Touch Creamy Stick Blush 0202.jpg,"[[241.0, 121.0, 120.0]]"
321,144.0,Women Champagne Glow And Behold Jelly Highlighter - 01 Gold Goal-02 Peach Pioneer.jpg,02 Peach Pioneer,Women Champagne Glow And Behold Jelly Highlighter  01 Gold Goal,"[[225.0, 200.0, 195.0]]"
322,145.0,Women Champagne Glow And Behold Jelly Highlighter - 01 Gold Goal-01 Gold Goal.jpg,01 Gold Goal,Women Champagne Glow And Behold Jelly Highlighter  01 Gold Goal,"[[226.20999999999998, 205.6028333333333, 194.03466666666668]]"
323,146.0,Sustainable Color Icon Blush - Nudist Society 1111554E 6 g-Nudist Society.jpg,Nudist Society,Sustainable Color Icon Blush  Nudist Society 1111554E 6 g,"[[234.70250000000001, 162.44466666666665, 127.18066666666668]]"
324,147.0,Sustainable Color Icon Blush - Nudist Society 1111554E 6 g-Mellow Wine.jpg,Mellow Wine,Sustainable Color Icon Blush  Nudist Society 1111554E 6 g,"[[209.84849999999997, 125.03100000000003, 102.81583333333333]]"
325,148.0,Sustainable Color Icon Blush - Nudist Society 1111554E 6 g-Pinch Me.jpg,Pinch Me,Sustainable Color Icon Blush  Nudist Society 1111554E 6 g,"[[227.543, 143.82183333333333, 137.42950000000002]]"
326,149.0,Cosmetics Face Fwd Blush Stick - 01 Coral Climax (Bright Coral)-Pink Prime.jpg,Pink Prime,Cosmetics Face Fwd Blush Stick  01 Coral Climax (Bright Coral),"[[206.72566666666663, 123.72566666666664, 118.29633333333337]]"
327,150.0,Cosmetics Face Fwd Blush Stick - 01 Coral Climax (Bright Coral)-Mauve Marvel.jpg,Mauve Marvel,Cosmetics Face Fwd Blush Stick  01 Coral Climax (Bright Coral),"[[179.0, 98.0, 107.0]]"
328,151.0,Cosmetics Face Fwd Blush Stick - 01 Coral Climax (Bright Coral)-01 Coral Climax.jpg,01 Coral Climax,Cosmetics Face Fwd Blush Stick  01 Coral Climax (Bright Coral),"[[232.0, 91.0, 81.0]]"
329,152.0,Cheekillusion Blush - Bronzing Glaze 011 4g-Rosey Peach.jpg,Rosey Peach,Cheekillusion Blush  Bronzing Glaze 011 4g,"[[203.71800000000002, 128.64033333333336, 125.702]]"
330,153.0,Cheekillusion Blush - Bronzing Glaze 011 4g-Coral Bliss.jpg,Coral Bliss,Cheekillusion Blush  Bronzing Glaze 011 4g,"[[239.481, 112.85566666666666, 108.64266666666667]]"
331,154.0,Cheekillusion Blush - Bronzing Glaze 011 4g-Bronzing Glaze-11.jpg,11,Cheekillusion Blush  Bronzing Glaze 011 4g,"[[202.97266666666667, 137.87966666666665, 116.267]]"
332,155.0,Cheekillusion Blush - Bronzing Glaze 011 4g-Everythings Rosy 010.jpg,Everythings Rosy 010,Cheekillusion Blush  Bronzing Glaze 011 4g,"[[206.57433333333333, 122.53816666666665, 138.1363333333333]]"
333,156.0,Cheekillusion Blush - Bronzing Glaze 011 4g-Coral Craving-09.jpg,09,Cheekillusion Blush  Bronzing Glaze 011 4g,"[[221.65833333333333, 128.10783333333333, 109.38466666666666]]"
334,157.0,Cheekillusion Blush - Bronzing Glaze 011 4g-Sweet Scarlet.jpg,Sweet Scarlet,Cheekillusion Blush  Bronzing Glaze 011 4g,"[[149.0, 95.0, 71.0]]"
335,158.0,Cheekillusion Blush - Bronzing Glaze 011 4g-Pink Pinch.jpg,Pink Pinch,Cheekillusion Blush  Bronzing Glaze 011 4g,"[[224.43933333333334, 139.51233333333334, 142.2105]]"
336,159.0,Perfecting Blush Hot Pink 02 5g-Apricot 06.jpg,Apricot 06,Perfecting Blush Hot Pink 02 5gApricot 06.jpg,"[[229.05, 150.35, 143.28]]"
337,160.0,Perfecting Blush Hot Pink 02 5g-Cocktail Peach.jpg,Cocktail Peach,Perfecting Blush Hot Pink 02 5gCocktail Peach.jpg,"[[236.96, 175.15, 160.2]]"
338,161.0,Perfecting Blush Hot Pink 02 5g-Coral Pink 01.jpg,Coral Pink 01,Perfecting Blush Hot Pink 02 5gCoral Pink 01.jpg,"[[223.14, 142.32, 138.28]]"
339,162.0,Perfecting Blush Hot Pink 02 5g-Blush Hot Pink 02.jpg,Blush Hot Pink 02,Perfecting Blush Hot Pink 02 5gBlush Hot Pink 02.jpg,"[[209.11, 130.33, 149.24]]"
340,163.0,Powder Blush - Melba-MELBA.jpg,MELBA,Powder Blush  Melba,"[[204.06633333333332, 132.5284999999999, 136.51549999999995]]"
341,164.0,Cheekillusion Blush - Coral Bliss 014 4g-Rosey Peach.jpg,Rosey Peach,Cheekillusion Blush  Coral Bliss 014 4g,"[[203.71800000000002, 128.64033333333336, 125.702]]"
342,165.0,Cheekillusion Blush - Coral Bliss 014 4g-Coral Bliss.jpg,Coral Bliss,Cheekillusion Blush  Coral Bliss 014 4g,"[[239.481, 112.85566666666666, 108.64266666666667]]"
343,166.0,Cheekillusion Blush - Coral Bliss 014 4g-Bronzing Glaze-11.jpg,11,Cheekillusion Blush  Coral Bliss 014 4g,"[[202.97266666666667, 137.87966666666665, 116.267]]"
344,167.0,Cheekillusion Blush - Coral Bliss 014 4g-Everythings Rosy 010.jpg,Everythings Rosy 010,Cheekillusion Blush  Coral Bliss 014 4g,"[[206.57433333333333, 122.53816666666665, 138.1363333333333]]"
345,168.0,Cheekillusion Blush - Coral Bliss 014 4g-Coral Craving-09.jpg,09,Cheekillusion Blush  Coral Bliss 014 4g,"[[221.65833333333333, 128.10783333333333, 109.38466666666666]]"
346,169.0,Cheekillusion Blush - Coral Bliss 014 4g-Sweet Scarlet.jpg,Sweet Scarlet,Cheekillusion Blush  Coral Bliss 014 4g,"[[149.0, 95.0, 71.0]]"
347,170.0,Cheekillusion Blush - Coral Bliss 014 4g-Pink Pinch.jpg,Pink Pinch,Cheekillusion Blush  Coral Bliss 014 4g,"[[224.43933333333334, 139.51233333333334, 142.2105]]"
350,173.0,20 Round Blusher-9.jpg,9,20 Round Blusher9.jpg,"[[232.39633333333333, 146.41933333333336, 126.78266666666666]]"
352,175.0,Round Powder Blusher - 17-9.jpg,9,Round Powder Blusher  17,"[[232.39633333333333, 146.41933333333336, 126.78266666666666]]"
